orth,freq,log_freq
guilt,33,3.555348061
guise,6,2.079441542
gulf,22,3.17805383
gull,1,1.098612289
gulp,2,1.386294361
gum,14,2.772588722
gun,118,4.787491743
gush,1,1.098612289
gust,2,1.386294361
gut,1,1.098612289
guy,51,3.970291914
guzzle,1,1.098612289
gym,2,1.386294361
gyp,6,2.079441542
h,74,4.33073334
ha,2,1.386294361
hable,1,1.098612289
hack,3,1.609437912
had,5133,8.543835122
haggle,1,1.098612289
hail,10,2.48490665
hair,148,5.010635294
hale,2,1.386294361
half,275,5.624017506
hall,152,5.036952602
halt,10,2.48490665
ham,19,3.044522438
han,13,2.708050201
hand,431,6.070737728
hang,26,3.33220451
hank,17,2.944438979
hans,44,3.828641396
hap,1,1.098612289
hard,202,5.318119994
hare,1,1.098612289
hark,3,1.609437912
harm,25,3.295836866
harp,1,1.098612289
harsh,12,2.63905733
hart,13,2.708050201
has,2439,7.80016307
hash,1,1.098612289
hast,1,1.098612289
haste,9,2.397895273
hat,56,4.060443011
hatch,5,1.945910149
hate,42,3.784189634
hath,3,1.609437912
haul,5,1.945910149
haunt,4,1.791759469
have,3941,8.279697134
haw,1,1.098612289
hawk,14,2.772588722
hay,19,3.044522438
haze,7,2.197224577
he,9543,9.163772736
he'll,31,3.496507561
he's,125,4.844187086
head,424,6.054439346
heal,2,1.386294361
health,105,4.672828834
heap,14,2.772588722
hear,153,5.043425117
heard,247,5.517452896
hearse,1,1.098612289
hearst,48,3.912023005
heart,173,5.164785974
hearth,4,1.791759469
heat,97,4.59511985
heave,2,1.386294361
heck,1,1.098612289
hedge,2,1.386294361
heed,8,2.302585093
heel,9,2.397895273
height,35,3.610917913
heir,7,2.197224577
held,264,5.583496309
hell,95,4.574710979
helm,4,1.791759469
help,311,5.746203191
hem,4,1.791759469
hen,22,3.17805383
hence,58,4.094344562
her,3037,8.019283793
herb,7,2.197224577
herd,22,3.17805383
here,750,6.622736324
hers,16,2.890371758
